ASN,country,center_lat,center_lng
206525,FR,46.227638,2.213749
206526,PL,51.919438,19.145136
206527,RU,61.52401,105.318756
206528,KZ,48.019573,66.923684
206529,GR,39.074208,21.824312
206531,IL,31.046051,34.851612
206532,RU,61.52401,105.318756
206533,AT,47.516231,14.550072
206535,MD,47.411631,28.369885
206536,RU,61.52401,105.318756
206537,BE,50.503887,4.469936
206538,RU,61.52401,105.318756
206539,IT,41.87194,12.56738
206540,UA,48.379433,31.16558
206541,LV,56.879635,24.603189
206542,RS,44.016521,21.005859
206544,UA,48.379433,31.16558
206545,DE,51.165691,10.451526
206546,BG,42.733883,25.48583
206547,US,39.50024,-98.350891
206548,CZ,49.817492,15.472962
206549,DE,51.165691,10.451526
206550,LB,33.854721,35.862285
206551,DE,51.165691,10.451526
206552,MD,47.411631,28.369885
206553,JO,30.585164,36.238414
206555,DE,51.165691,10.451526
206556,TR,38.963745,35.243322
206557,NO,60.472024,8.468946
206558,AT,47.516231,14.550072
206559,PL,51.919438,19.145136
206560,MD,47.411631,28.369885
206561,TR,38.963745,35.243322
206562,BE,50.503887,4.469936
206563,PL,51.919438,19.145136
206564,DE,51.165691,10.451526
206565,ES,40.463667,-3.74922
206566,CZ,49.817492,15.472962
206567,CH,46.818188,8.227512
206568,FR,46.227638,2.213749
206570,NL,52.132633,5.291266
206571,AT,47.516231,14.550072
206572,RU,61.52401,105.318756
206573,RU,61.52401,105.318756
206574,DK,56.1554671,10.4309955
206575,HR,45.1,15.2
206576,GB,55.378051,-3.435973
206578,ES,40.463667,-3.74922
206579,PL,51.919438,19.145136
206580,RS,44.016521,21.005859
206581,PL,51.919438,19.145136
206582,MD,47.411631,28.369885
206583,DE,51.165691,10.451526
206585,RU,61.52401,105.318756
206586,CH,46.818188,8.227512
206588,IT,41.87194,12.56738
206589,PL,51.919438,19.145136
206590,MD,47.411631,28.369885
206591,CZ,49.817492,15.472962
206592,ES,40.463667,-3.74922
206593,SE,60.128161,18.643501
206594,PL,51.919438,19.145136
206595,TR,38.963745,35.243322
206596,IR,32.427908,53.688046
206597,DE,51.165691,10.451526
206598,IT,41.87194,12.56738
206599,FR,46.227638,2.213749
206600,LV,56.879635,24.603189
206602,ES,40.463667,-3.74922
206605,NL,52.132633,5.291266
206606,DK,56.1554671,10.4309955
206607,GB,55.378051,-3.435973
206608,JO,30.585164,36.238414
206609,LU,49.815273,6.129583
206610,LU,49.815273,6.129583
206611,IQ,33.223191,43.679291
206612,DK,56.1554671,10.4309955
206613,CZ,49.817492,15.472962
206614,IL,31.046051,34.851612
206616,CH,46.818188,8.227512
206617,IT,41.87194,12.56738
206618,DE,51.165691,10.451526
206619,FR,46.227638,2.213749
206620,DE,51.165691,10.451526
206621,UA,48.379433,31.16558
206622,MD,47.411631,28.369885
206623,MD,47.411631,28.369885
206624,DK,56.1554671,10.4309955
206625,US,39.50024,-98.350891
206626,GB,55.378051,-3.435973
206627,SE,60.128161,18.643501
206628,US,39.50024,-98.350891
206629,GB,55.378051,-3.435973
206630,RU,61.52401,105.318756
206631,RU,61.52401,105.318756
206632,PL,51.919438,19.145136
206633,LT,55.169438,23.881275
206635,IR,32.427908,53.688046
206636,DK,56.1554671,10.4309955
206637,GB,55.378051,-3.435973
206638,UA,48.379433,31.16558
206639,BE,50.503887,4.469936
206640,PL,51.919438,19.145136
206641,IQ,33.223191,43.679291
206642,ES,40.463667,-3.74922
206643,NL,52.132633,5.291266
206644,MD,47.411631,28.369885
206645,BG,42.733883,25.48583
206646,US,39.50024,-98.350891
206647,RU,61.52401,105.318756
206648,TR,38.963745,35.243322
206649,RU,61.52401,105.318756
206650,IL,31.046051,34.851612
206651,PL,51.919438,19.145136
206652,GR,39.074208,21.824312
206653,RU,61.52401,105.318756
206654,MD,47.411631,28.369885
206655,IT,41.87194,12.56738
206656,FR,46.227638,2.213749
206657,ES,40.463667,-3.74922
206658,NO,60.472024,8.468946
206659,GR,39.074208,21.824312
206661,RU,61.52401,105.318756
206662,CH,46.818188,8.227512
206663,IE,53.41291,-8.24389
206664,GB,55.378051,-3.435973
206665,BE,50.503887,4.469936
206667,NO,60.472024,8.468946
206668,RU,61.52401,105.318756
206669,IS,64.963051,-19.020835
206670,RU,61.52401,105.318756
206671,GB,55.378051,-3.435973
206672,AT,47.516231,14.550072
206673,RU,61.52401,105.318756
206674,PL,51.919438,19.145136
206675,IR,32.427908,53.688046
206676,NL,52.132633,5.291266
206677,BE,50.503887,4.469936
206678,MD,47.411631,28.369885
206679,PL,51.919438,19.145136
206681,GB,55.378051,-3.435973
206682,GB,55.378051,-3.435973
206683,CZ,49.817492,15.472962
206684,RU,61.52401,105.318756
206685,PL,51.919438,19.145136
206686,GB,55.378051,-3.435973
206687,PL,51.919438,19.145136
206688,GB,55.378051,-3.435973
206689,GB,55.378051,-3.435973
206690,GB,55.378051,-3.435973
206691,PL,51.919438,19.145136
206692,IR,32.427908,53.688046
206693,IT,41.87194,12.56738
206694,SA,23.885942,45.079162
206695,IE,53.41291,-8.24389
206696,RU,61.52401,105.318756
206697,GR,39.074208,21.824312
206698,MD,47.411631,28.369885
206699,GB,55.378051,-3.435973
206700,FR,46.227638,2.213749
206701,IT,41.87194,12.56738
206702,ES,40.463667,-3.74922
206703,CZ,49.817492,15.472962
206704,IE,53.41291,-8.24389
206705,PL,51.919438,19.145136
206706,IQ,33.223191,43.679291
206707,RU,61.52401,105.318756
206708,RU,61.52401,105.318756
206709,FR,46.227638,2.213749
206711,NO,60.472024,8.468946
206712,CZ,49.817492,15.472962
206713,FR,46.227638,2.213749
206714,NL,52.132633,5.291266
206715,RU,61.52401,105.318756
206716,KW,29.31166,47.481766
206717,CY,35.126413,33.429859
206719,RO,45.943161,24.96676
206720,DE,51.165691,10.451526
206721,FR,46.227638,2.213749
206722,SE,60.128161,18.643501
206723,IE,53.41291,-8.24389
206724,RU,61.52401,105.318756
206725,NO,60.472024,8.468946
206726,IE,53.41291,-8.24389
206727,DE,51.165691,10.451526
206728,RU,61.52401,105.318756
206730,NL,52.132633,5.291266
206731,GB,55.378051,-3.435973
206732,IT,41.87194,12.56738
206733,GB,55.378051,-3.435973
206734,FI,61.92411,25.748151
206736,PL,51.919438,19.145136
206737,IT,41.87194,12.56738
206738,IT,41.87194,12.56738
206739,TR,38.963745,35.243322
206740,DE,51.165691,10.451526
206741,NL,52.132633,5.291266
206743,IS,64.963051,-19.020835
206744,MD,47.411631,28.369885
206745,BE,50.503887,4.469936
206746,IE,53.41291,-8.24389
206747,GB,55.378051,-3.435973
206748,AM,40.069099,45.038189
206749,DK,56.1554671,10.4309955
206750,MD,47.411631,28.369885
206751,DE,51.165691,10.451526
206752,ES,40.463667,-3.74922
206753,RU,61.52401,105.318756
206754,GB,55.378051,-3.435973
206755,BG,42.733883,25.48583
206756,RU,61.52401,105.318756
206757,ES,40.463667,-3.74922
206758,PL,51.919438,19.145136
206759,SK,48.669026,19.699024
206760,RU,61.52401,105.318756
206761,DE,51.165691,10.451526
206762,PL,51.919438,19.145136
206763,RO,45.943161,24.96676
206764,RU,61.52401,105.318756
206765,AT,47.516231,14.550072
206766,RU,61.52401,105.318756
206767,RU,61.52401,105.318756
206768,KZ,48.019573,66.923684
206770,PL,51.919438,19.145136
206772,ES,40.463667,-3.74922
206773,GB,55.378051,-3.435973
206774,SE,60.128161,18.643501
206775,DE,51.165691,10.451526
206776,NL,52.132633,5.291266
206777,UA,48.379433,31.16558
206778,AT,47.516231,14.550072
206779,CH,46.818188,8.227512
206780,DE,51.165691,10.451526
206781,PL,51.919438,19.145136
206782,FR,46.227638,2.213749
206784,CZ,49.817492,15.472962
206785,CZ,49.817492,15.472962
206786,PL,51.919438,19.145136
206787,ES,40.463667,-3.74922
206789,IT,41.87194,12.56738
206790,CH,46.818188,8.227512
206791,UA,48.379433,31.16558
206793,PL,51.919438,19.145136
206795,FR,46.227638,2.213749
206796,BG,42.733883,25.48583
206797,GB,55.378051,-3.435973
206798,GB,55.378051,-3.435973
206799,SE,60.128161,18.643501
206800,GB,55.378051,-3.435973
206801,IT,41.87194,12.56738
206802,PL,51.919438,19.145136
206803,RU,61.52401,105.318756
206804,EE,58.595272,25.013607
206805,RU,61.52401,105.318756
206806,TR,38.963745,35.243322
206807,ES,40.463667,-3.74922
206808,HR,45.1,15.2
206809,RU,61.52401,105.318756
206811,IT,41.87194,12.56738
206812,RU,61.52401,105.318756
206813,DE,51.165691,10.451526
206814,RU,61.52401,105.318756
206815,LU,49.815273,6.129583
206816,IT,41.87194,12.56738
206817,RU,61.52401,105.318756
206819,GB,55.378051,-3.435973
206820,RU,61.52401,105.318756
206821,IT,41.87194,12.56738
206822,GB,55.378051,-3.435973
206823,UA,48.379433,31.16558
206825,DE,51.165691,10.451526
206826,ES,40.463667,-3.74922
206827,RU,61.52401,105.318756
206828,ES,40.463667,-3.74922
206829,SE,60.128161,18.643501
206830,ES,40.463667,-3.74922
206832,SC,-4.679574,55.491977
206833,ES,40.463667,-3.74922
206834,DE,51.165691,10.451526
206835,RU,61.52401,105.318756
206836,NL,52.132633,5.291266
206837,ES,40.463667,-3.74922
206838,PL,51.919438,19.145136
206839,PL,51.919438,19.145136
206840,IR,32.427908,53.688046
206841,BE,50.503887,4.469936
206842,IS,64.963051,-19.020835
206843,GB,55.378051,-3.435973
206844,EE,58.595272,25.013607
206845,RU,61.52401,105.318756
206846,US,39.50024,-98.350891
206847,MD,47.411631,28.369885
206848,GB,55.378051,-3.435973
206849,TR,38.963745,35.243322
206850,RU,61.52401,105.318756
206851,FR,46.227638,2.213749
206852,PL,51.919438,19.145136
206853,ES,40.463667,-3.74922
206854,IR,32.427908,53.688046
206855,DE,51.165691,10.451526
206856,FR,46.227638,2.213749
206857,CH,46.818188,8.227512
206858,SE,60.128161,18.643501
206859,FR,46.227638,2.213749
206860,FI,61.92411,25.748151
206861,NL,52.132633,5.291266
206862,IR,32.427908,53.688046
206863,ES,40.463667,-3.74922
206864,IT,41.87194,12.56738
206865,FR,46.227638,2.213749
206866,ES,40.463667,-3.74922
206867,IT,41.87194,12.56738
206868,IT,41.87194,12.56738
206869,NL,52.132633,5.291266
206870,GB,55.378051,-3.435973
206871,RU,61.52401,105.318756
206872,SI,46.151241,14.995463
206873,RU,61.52401,105.318756
206874,FR,46.227638,2.213749
206875,IL,31.046051,34.851612
206876,AT,47.516231,14.550072
206878,SA,23.885942,45.079162
206879,KW,29.31166,47.481766
206881,IT,41.87194,12.56738
206882,ES,40.463667,-3.74922
206883,BE,50.503887,4.469936
206884,SE,60.128161,18.643501
206885,DE,51.165691,10.451526
206886,ES,40.463667,-3.74922
206887,TR,38.963745,35.243322
206889,SE,60.128161,18.643501
206890,PL,51.919438,19.145136
206891,CH,46.818188,8.227512
206892,HU,47.162494,19.503304
206893,IQ,33.223191,43.679291
206894,NL,52.132633,5.291266
206896,PL,51.919438,19.145136
206897,NO,60.472024,8.468946
206898,AU,-25.274398,133.775136
206899,DE,51.165691,10.451526
206900,GB,55.378051,-3.435973
206901,DK,56.1554671,10.4309955
206902,LV,56.879635,24.603189
206903,FR,46.227638,2.213749
206905,RU,61.52401,105.318756
206906,DE,51.165691,10.451526
206907,UA,48.379433,31.16558
206908,CZ,49.817492,15.472962
206909,SK,48.669026,19.699024
206910,PL,51.919438,19.145136
206911,LB,33.854721,35.862285
206912,CY,35.126413,33.429859
206913,FR,46.227638,2.213749
206914,FR,46.227638,2.213749
206915,DE,51.165691,10.451526
206916,SC,-4.679574,55.491977
206917,DE,51.165691,10.451526
206918,GB,55.378051,-3.435973
206919,GB,55.378051,-3.435973
206920,DK,56.1554671,10.4309955
206921,FR,46.227638,2.213749
206922,RU,61.52401,105.318756
206923,LV,56.879635,24.603189
206924,GB,55.378051,-3.435973
206925,GB,55.378051,-3.435973
206927,FI,61.92411,25.748151
206929,BE,50.503887,4.469936
206930,ES,40.463667,-3.74922
206931,GB,55.378051,-3.435973
